keyword,frame,rationale
plagiarism,detection,Direct reference to academic misconduct
detection,detection,Surveillance and policing language
misconduct,detection,Formal disciplinary framing
penalty,detection,Punitive consequence
penalties,detection,Punitive consequence
turnitin,detection,Named detection product (UK-specific; retained for comparability)
contract cheating,detection,Named misconduct category
breach,detection,Framing of rule violation
disciplinary,detection,Formal disciplinary framing
sanction,detection,Punitive consequence
sanctions,detection,Punitive consequence
suspicious,detection,Presumption of bad faith
investigation,detection,Formal disciplinary process
academic integrity,detection,Misconduct framework anchor term
collusion,detection,Named misconduct category
unfair,detection,Misconduct framing
cheat,detection,Direct accusation register
cheating,detection,Direct accusation register
detect,detection,Surveillance and policing language
detected,detection,Surveillance and policing language
offence,detection,Formal disciplinary framing
offences,detection,Formal disciplinary framing
punishment,detection,Punitive consequence
prohibit,detection,Prohibition register
prohibited,detection,Prohibition register
violation,detection,Framing of rule violation
unauthorised,detection,Permission-gated use
unauthorized,detection,Permission-gated use
declare,detection,Mandatory self-reporting of AI use
declaration,detection,Mandatory self-reporting of AI use
disclose,detection,Mandatory self-reporting of AI use
not permitted,detection,Prohibition register
not allowed,detection,Prohibition register
zero tolerance,detection,Absolutist punitive register
shall,compliance,Statutory obligation marker
must,compliance,Mandatory obligation marker
required,compliance,Mandatory obligation marker
require,compliance,Mandatory obligation marker
requirements,compliance,Mandatory obligation marker
comply,compliance,Explicit compliance register
complies,compliance,Explicit compliance register
compliance,compliance,Explicit compliance register
obligation,compliance,Formal duty language
obligations,compliance,Formal duty language
regulation,compliance,Regulatory instrument reference
regulations,compliance,Regulatory instrument reference
regulatory,compliance,Regulatory instrument reference
directive,compliance,Binding instruction from regulator
directives,compliance,Binding instruction from regulator
standards,compliance,Externally set benchmark to be met
oversight,compliance,Supervisory control structure
monitor,compliance,Institutional compliance monitoring
monitoring,compliance,Institutional compliance monitoring
audit,compliance,Formal verification process
audits,compliance,Formal verification process
corrective,compliance,Remedial enforcement action
enforce,compliance,Enforcement register
enforcement,compliance,Enforcement register
governance,compliance,Formal control structure
accountability,compliance,Answerability structure
accountable,compliance,Answerability structure
mandate,compliance,Binding requirement
mandatory,compliance,Binding requirement
safeguard,compliance,Risk-control measure
safeguards,compliance,Risk-control measure
mechanisms,compliance,Institutional control apparatus
risk,compliance,Risk-management register
risks,compliance,Risk-management register
mitigate,compliance,Risk-management register
